course title,course url,course description,Ratings,duration,course level,Course Type,processed_title,processed_description
Python for Data Science and Machine Learning Bootcamp,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",4.6,25 total hours,All Levels,Paid,python data scienc machin learn bootcamp,learn use numpi panda seaborn matplotlib plotli scikit learn machin learn tensorflow
The Data Science Course 2022: Complete Data Science Bootcamp,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,"Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning",4.6,32 total hours,All Levels,Paid,data scienc cours 2022 complet data scienc bootcamp,complet data scienc train mathemat statist python advanc statist python machin deep learn
Statistics for Data Science and Business Analysis,https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis",4.6,5 total hours,All Levels,Paid,statist data scienc busi analysi,statist need offic descript inferenti statist hypothesi test regress analysi
"Machine Learning, Data Science and Deep Learning with Python",https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,"Complete hands-on machine learning tutorial with data science, Tensorflow, artificial intelligence, and neural networks",4.5,15.5 total hours,Beginner,Paid,machin learn data scienc deep learn python,complet hand machin learn tutori data scienc tensorflow artifici intellig neural network
Spark and Python for Big Data with PySpark,https://www.udemy.com/course/spark-and-python-for-big-data-with-pyspark/,"Learn how to use Spark with Python, including Spark Streaming, Machine Learning, Spark 2.0 DataFrames and more!",4.5,10.5 total hours,Intermediate,Paid,spark python big data pyspark,learn use spark python includ spark stream machin learn spark 2 0 datafram
Data Analysis with Pandas and Python,https://www.udemy.com/course/data-analysis-with-pandas/,Analyze data quickly and easily with Python's powerful pandas library! All datasets included --- beginners welcome!,4.7,22 total hours,All Levels,Paid,data analysi panda python,analyz data quickli easili python power panda librari dataset includ beginn welcom
Complete Guide to TensorFlow for Deep Learning with Python,https://www.udemy.com/course/complete-guide-to-tensorflow-for-deep-learning-with-python/,Learn how to use Google's Deep Learning Framework - TensorFlow with Python! Solve problems with cutting edge techniques!,4.4,14 total hours,Intermediate,Paid,complet guid tensorflow deep learn python,learn use googl deep learn framework tensorflow python solv problem cut edg techniqu
Apache Spark with Scala - Hands On with Big Data!,https://www.udemy.com/course/apache-spark-with-scala-hands-on-with-big-data/,"Apache Spark tutorial with 20+  hands-on examples of analyzing large data sets, on your desktop or on Hadoop with Scala!",4.6,9 total hours,All Levels,Paid,apach spark scala hand big data,apach spark tutori 20 hand exampl analyz larg data set desktop hadoop scala
Data Science and Machine Learning Bootcamp with R,https://www.udemy.com/course/data-science-and-machine-learning-bootcamp-with-r/,Learn how to use the R programming language for data science and machine learning and data visualization!,4.8,18 total hours,All Levels,Paid,data scienc machin learn bootcamp r,learn use r program languag data scienc machin learn data visual
Taming Big Data with Apache Spark and Python - Hands On!,https://www.udemy.com/course/taming-big-data-with-apache-spark-hands-on/,PySpark tutorial with 20+  hands-on examples of analyzing large data sets on your desktop or on Hadoop with Python!,4.5,7 total hours,All Levels,Paid,tame big data apach spark python hand,pyspark tutori 20 hand exampl analyz larg data set desktop hadoop python
Complete Machine Learning & Data Science Bootcamp 2022,https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,"Learn Data Science, Data Analysis, Machine Learning (Artificial Intelligence) and Python with Tensorflow, Pandas & more!",4.6,44 total hours,All Levels,Paid,complet machin learn data scienc bootcamp 2022,learn data scienc data analysi machin learn artifici intellig python tensorflow panda
Introduction to Machine Learning for Data Science,https://www.udemy.com/course/machine-learning-for-data-science/,"A primer on Machine Learning for Data Science.  Revealed for everyday people, by the Backyard Data Scientist.",4.5,5.5 total hours,Beginner,Paid,introduct machin learn data scienc,primer machin learn data scienc reveal everyday peopl backyard data scientist
NLP - Natural Language Processing with Python,https://www.udemy.com/course/nlp-natural-language-processing-with-python/,"Learn to use Machine Learning, Spacy, NLTK, SciKit-Learn, Deep Learning, and more to conduct Natural Language Processing",4.6,11.5 total hours,Intermediate,Paid,nlp natur languag process python,learn use machin learn spaci nltk scikit learn deep learn conduct natur languag process
Data Science: Natural Language Processing (NLP) in Python,https://www.udemy.com/course/data-science-natural-language-processing-in-python/,"Applications: decrypting ciphers, spam detection, sentiment analysis, article spinners, and latent semantic analysis.",4.6,12 total hours,All Levels,Paid,data scienc natur languag process nlp python,applic decrypt cipher spam detect sentiment analysi articl spinner latent semant analysi
Artificial Intelligence: Reinforcement Learning in Python,https://www.udemy.com/course/artificial-intelligence-reinforcement-learning-in-python/,"Complete guide to Reinforcement Learning, with Stock Trading and Online Advertising Applications",4.7,14.5 total hours,Intermediate,Paid,artifici intellig reinforc learn python,complet guid reinforc learn stock trade onlin advertis applic
2022 Python for Machine Learning & Data Science Masterclass,https://www.udemy.com/course/python-for-machine-learning-data-science-masterclass/,"Learn about Data Science and Machine Learning with Python! Including Numpy, Pandas, Matplotlib, Scikit-Learn and more!",4.6,44 total hours,All Levels,Paid,2022 python machin learn data scienc masterclass,learn data scienc machin learn python includ numpi panda matplotlib scikit learn
Data Science: Deep Learning and Neural Networks in Python,https://www.udemy.com/course/data-science-deep-learning-in-python/,"The MOST in-depth look at neural network theory for machine learning, with both pure Python and Tensorflow code",4.6,11 total hours,Intermediate,Paid,data scienc deep learn neural network python,depth look neural network theori machin learn pure python tensorflow code
R Programming: Advanced Analytics In R For Data Science,https://www.udemy.com/course/r-analytics/,"Take Your R & R Studio Skills To The Next Level. Data Analytics, Data Science, Statistical Analysis in Business, GGPlot2",4.7,6 total hours,Intermediate,Paid,r program advanc analyt r data scienc,take r r studio skill next level data analyt data scienc statist analysi busi ggplot2
Interactive Python Dashboards with Plotly and Dash,https://www.udemy.com/course/interactive-python-dashboards-with-plotly-and-dash/,"Learn how to create interactive plots and intelligent dashboards with Plotly, Python, and the Dash library!",4.7,9.5 total hours,Intermediate,Paid,interact python dashboard plotli dash,learn creat interact plot intellig dashboard plotli python dash librari
Tensorflow 2.0: Deep Learning and Artificial Intelligence,https://www.udemy.com/course/deep-learning-tensorflow-2/,"Machine Learning & Neural Networks for Computer Vision, Time Series Analysis, NLP, GANs, Reinforcement Learning, +More!",4.6,22 total hours,All Levels,Paid,tensorflow 2 0 deep learn artifici intellig,machin learn neural network comput vision time seri analysi nlp gan reinforc learn
Natural Language Processing with Deep Learning in Python,https://www.udemy.com/course/natural-language-processing-with-deep-learning-in-python/,"Complete guide on deriving and implementing word2vec, GloVe, word embeddings, and sentiment analysis with recursive nets",4.7,12 total hours,Expert,Paid,natur languag process deep learn python,complet guid deriv implement word2vec glove word embed sentiment analysi recurs net
DP-900 Azure Data Fundamentals Exam Prep In One Day,https://www.udemy.com/course/dp900-azure/,Learn the basics of Azure database services and get certified with this complete DP-900 course!,4.5,2.5 total hours,Beginner,Paid,dp 900 azur data fundament exam prep one day,learn basic azur databas servic get certifi complet dp 900 cours
Complete Tensorflow 2 and Keras Deep Learning Bootcamp,https://www.udemy.com/course/complete-tensorflow-2-and-keras-deep-learning-bootcamp/,Learn to use Python for Deep Learning with Google's latest Tensorflow 2 library and Keras!,4.7,19 total hours,All Levels,Paid,complet tensorflow 2 kera deep learn bootcamp,learn use python deep learn googl latest tensorflow 2 librari kera
Bayesian Machine Learning in Python: A/B Testing,https://www.udemy.com/course/bayesian-machine-learning-in-python-ab-testing/,"Data Science, Machine Learning, and Data Analytics Techniques for Marketing, Digital Media, Online Advertising, and More",4.6,10.5 total hours,All Levels,Paid,bayesian machin learn python b test,data scienc machin learn data analyt techniqu market digit media onlin advertis
Probability and Statistics for Business and Data Science,https://www.udemy.com/course/probability-and-statistics-for-business-and-data-science/,Learn how to apply probability and statistics to real data science and business applications!,4.6,5 total hours,All Levels,Paid,probabl statist busi data scienc,learn appli probabl statist real data scienc busi applic
Deep Learning Prerequisites: Linear Regression in Python,https://www.udemy.com/course/data-science-linear-regression-in-python/,"Data science, machine learning, and artificial intelligence in Python for students and professionals",4.7,6.5 total hours,All Levels,Paid,deep learn prerequisit linear regress python,data scienc machin learn artifici intellig python student profession
The Complete Machine Learning Course with Python,https://www.udemy.com/course/machine-learning-course-with-python/,"Build a Portfolio of 12 Machine Learning Projects with Python, SVM, Regression, Unsupervised Machine Learning & More!",4.6,17.5 total hours,All Levels,Paid,complet machin learn cours python,build portfolio 12 machin learn project python svm regress unsupervis machin learn
Scala and Spark for Big Data and Machine Learning,https://www.udemy.com/course/scala-and-spark-for-big-data-and-machine-learning/,"Learn the latest Big Data technology - Spark and Scala, including Spark 2.0 DataFrames!",4.3,10 total hours,All Levels,Paid,scala spark big data machin learn,learn latest big data technolog spark scala includ spark 2 0 datafram
Machine Learning & Deep Learning in Python & R,https://www.udemy.com/course/data_science_a_to_z/,"Covers Regression, Decision Trees, SVM, Neural Networks, CNN, Time Series Forecasting and more using both Python & R",4.4,33 total hours,All Levels,Paid,machin learn deep learn python r,cover regress decis tree svm neural network cnn time seri forecast use python r
"Deep Learning: Advanced Computer Vision (GANs, SSD, +More!)",https://www.udemy.com/course/advanced-computer-vision/,"VGG, ResNet, Inception, SSD, RetinaNet, Neural Style Transfer, GANs +More in Tensorflow, Keras, and Python",4.5,15 total hours,Intermediate,Paid,deep learn advanc comput vision gan ssd,vgg resnet incept ssd retinanet neural style transfer gan tensorflow kera python
TensorFlow Developer Certificate in 2022: Zero to Mastery,https://www.udemy.com/course/tensorflow-developer-certificate-machine-learning-zero-to-mastery/,"Pass the TensorFlow Developer Certification Exam by Google. Become an AI, Machine Learning, and Deep Learning expert!",4.7,63.5 total hours,All Levels,Paid,tensorflow develop certif 2022 zero masteri,pass tensorflow develop certif exam googl becom ai machin learn deep learn expert
Statistics for Data Analysis Using Excel 2016,https://www.udemy.com/course/statistics-using-excel/,Plain & Simple Lessons on Descriptive & Inferential Statistics Theory With Excel Examples for Business & Six Sigma,4.6,14.5 total hours,All Levels,Paid,statist data analysi use excel 2016,plain simpl lesson descript inferenti statist theori excel exampl busi six sigma
Deep Learning: Convolutional Neural Networks in Python,https://www.udemy.com/course/deep-learning-convolutional-neural-networks-theano-tensorflow/,"Tensorflow 2 CNNs for Computer Vision, Natural Language Processing (NLP) +More! For Data Science & Machine Learning",4.6,12 total hours,All Levels,Paid,deep learn convolut neural network python,tensorflow 2 cnn comput vision natur languag process nlp data scienc machin learn
Complete 2022 Data Science & Machine Learning Bootcamp,https://www.udemy.com/course/python-data-science-machine-learning-bootcamp/,"Learn Python, Tensorflow, Deep Learning, Regression, Classification, Neural Networks, Artificial Intelligence & more!",4.6,41.5 total hours,All Levels,Paid,complet 2022 data scienc machin learn bootcamp,learn python tensorflow deep learn regress classif neural network artifici intellig
Advanced AI: Deep Reinforcement Learning in Python,https://www.udemy.com/course/deep-reinforcement-learning-in-python/,The Complete Guide to Mastering Artificial Intelligence using Deep Learning and Neural Networks,4.8,10.5 total hours,Expert,Paid,advanc ai deep reinforc learn python,complet guid master artifici intellig use deep learn neural network
Deep Learning: Advanced Natural Language Processing and RNNs,https://www.udemy.com/course/deep-learning-advanced-nlp/,"Natural Language Processing (NLP) with Sequence-to-sequence (seq2seq), Attention, CNNs, RNNs, and Memory Networks!",4.6,8.5 total hours,All Levels,Paid,deep learn advanc natur languag process rnn,natur languag process nlp sequenc sequenc seq2seq attent cnn rnn memori network
Cluster Analysis and Unsupervised Machine Learning in Python,https://www.udemy.com/course/cluster-analysis-unsupervised-machine-learning-python/,"Data science techniques for pattern recognition, data mining, k-means clustering, and hierarchical clustering, and KDE.",4.7,8 total hours,Beginner,Paid,cluster analysi unsupervis machin learn python,data scienc techniqu pattern recognit data mine k mean cluster hierarch cluster kde
R Programming for Statistics and Data Science 2022,https://www.udemy.com/course/r-programming-for-statistics-and-data-science/,R Programming for Data Science & Data Analysis. Applying R for Statistics and Data Visualization with GGplot2 in R,4.5,6.5 total hours,All Levels,Paid,r program statist data scienc 2022,r program data scienc data analysi appli r statist data visual ggplot2 r
Deployment of Machine Learning Models,https://www.udemy.com/course/deployment-of-machine-learning-models/,Learn how to integrate robust and reliable Machine Learning Pipelines in Production,4.4,10.5 total hours,Intermediate,Paid,deploy machin learn model,learn integr robust reliabl machin learn pipelin product
Deep Learning: Recurrent Neural Networks in Python,https://www.udemy.com/course/deep-learning-recurrent-neural-networks-in-python/,"GRU, LSTM, Time Series Forecasting, Stock Predictions, Natural Language Processing (NLP) using Artificial Intelligence",4.6,12 total hours,All Levels,Paid,deep learn recurr neural network python,gru lstm time seri forecast stock predict natur languag process nlp use artifici intellig
Python & Machine Learning for Financial Analysis,https://www.udemy.com/course/ml-and-python-in-finance-real-cases-and-practical-solutions/,Master Python Programming Fundamentals and Harness the Power of ML to Solve Real-World Practical Applications in Finance,4.5,23 total hours,All Levels,Paid,python machin learn financi analysi,master python program fundament har power ml solv real world practic applic financ
Apache Spark 3 - Spark Programming in Python for Beginners,https://www.udemy.com/course/apache-spark-programming-in-python-for-beginners/,Data Engineering using Spark Structured API,4.5,6.5 total hours,All Levels,Paid,apach spark 3 spark program python beginn,data engin use spark structur api
Intro to Data Science: Your Step-by-Step Guide To Starting,https://www.udemy.com/course/intro-to-data-science/,"Learn the critical elements of Data Science, from visualization to databases to Python and more, in just 6 weeks!",4.5,5.5 total hours,Beginner,Paid,intro data scienc step step guid start,learn critic element data scienc visual databas python 6 week
Deep Learning Prerequisites: Logistic Regression in Python,https://www.udemy.com/course/data-science-logistic-regression-in-python/,"Data science, machine learning, and artificial intelligence in Python for students and professionals",4.6,6.5 total hours,All Levels,Paid,deep learn prerequisit logist regress python,data scienc machin learn artifici intellig python student profession
The Complete Self-Driving Car Course - Applied Deep Learning,https://www.udemy.com/course/applied-deep-learningtm-the-complete-self-driving-car-course/,"Learn to use Deep Learning, Computer Vision and Machine Learning techniques to Build an Autonomous Car with Python",4.4,18 total hours,All Levels,Paid,complet self drive car cours appli deep learn,learn use deep learn comput vision machin learn techniqu build autonom car python
Introduction to Natural Language Processing (NLP),https://www.udemy.com/course/natural-language-processing/,Learn how to analyze text data.,4.3,3 total hours,Beginner,Paid,introduct natur languag process nlp,learn analyz text data
PyTorch for Deep Learning with Python Bootcamp,https://www.udemy.com/course/pytorch-for-deep-learning-with-python-bootcamp/,Learn how to create state of the art neural networks for deep learning with Facebook's PyTorch Deep Learning library!,4.6,17 total hours,All Levels,Paid,pytorch deep learn python bootcamp,learn creat state art neural network deep learn facebook pytorch deep learn librari
Unsupervised Machine Learning Hidden Markov Models in Python,https://www.udemy.com/course/unsupervised-machine-learning-hidden-markov-models-in-python/,"HMMs for stock price analysis, language modeling, web analytics, biology, and PageRank.",4.5,9.5 total hours,All Levels,Paid,unsupervis machin learn hidden markov model python,hmm stock price analysi languag model web analyt biolog pagerank
Mathematical Foundations of Machine Learning,https://www.udemy.com/course/machine-learning-data-science-foundations-masterclass/,"Essential Linear Algebra and Calculus Hands-On in NumPy, TensorFlow, and PyTorch",4.6,16.5 total hours,All Levels,Paid,mathemat foundat machin learn,essenti linear algebra calculu hand numpi tensorflow pytorch
Streaming Big Data with Spark Streaming and Scala - Hands On,https://www.udemy.com/course/taming-big-data-with-spark-streaming-hands-on/,"Spark Streaming tutorial covering Spark Structured Streaming, Kafka integration, and streaming big data in real-time.",4.4,6.5 total hours,All Levels,Paid,stream big data spark stream scala hand,spark stream tutori cover spark structur stream kafka integr stream big data real time
Artificial Intelligence for Business,https://www.udemy.com/course/ai-for-business/,Solve Real World Business Problems with AI Solutions,4.6,15 total hours,Beginner,Paid,artifici intellig busi,solv real world busi problem ai solut
AWS Certified Machine Learning Specialty (MLS-C01),https://www.udemy.com/course/aws-machine-learning-a-complete-guide-with-python/,Hands on AWS ML SageMaker Course with Practice Test. Join Live Study Group Q&A!,4.6,18 total hours,All Levels,Paid,aw certifi machin learn specialti ml c01,hand aw ml sagemak cours practic test join live studi group q
Deep Learning with Python and Keras,https://www.udemy.com/course/deep-learning-with-python-and-keras/,"Understand and build Deep Learning models for images, text  and more using Python and Keras",4.4,10 total hours,Intermediate,Paid,deep learn python kera,understand build deep learn model imag text use python kera
Modern Deep Learning in Python,https://www.udemy.com/course/data-science-deep-learning-in-theano-tensorflow/,"Build with modern libraries like Tensorflow, Theano, Keras, PyTorch, CNTK, MXNet. Train faster with GPU on AWS.",4.8,11.5 total hours,All Levels,Paid,modern deep learn python,build modern librari like tensorflow theano kera pytorch cntk mxnet train faster gpu aw
An Introduction to Machine Learning for Data Engineers,https://www.udemy.com/course/an-introduction-to-machine-learning-for-data-engineers/,A Prerequisite for Tensorflow on Google's Cloud Platform for Data Engineers,4.4,1 total hour,Beginner,Paid,introduct machin learn data engin,prerequisit tensorflow googl cloud platform data engin
R Level 1 - Data Analytics with R,https://www.udemy.com/course/r-level1/,Use R for Data Analytics and Data Mining,4.4,8.5 total hours,Beginner,Paid,r level 1 data analyt r,use r data analyt data mine
Machine Learning with Javascript,https://www.udemy.com/course/machine-learning-with-javascript/,Master Machine Learning from scratch using Javascript and TensorflowJS with hands-on projects.,4.7,17.5 total hours,Beginner,Paid,machin learn javascript,master machin learn scratch use javascript tensorflowj hand project
R Programming For Absolute Beginners,https://www.udemy.com/course/r-programming-course-for-absolute-beginners/,Learn the basics of writing code in R - your first step to become a data scientist,4.8,9.5 total hours,Beginner,Paid,r program absolut beginn,learn basic write code r first step becom data scientist
Python-Introduction to Data Science and Machine learning A-Z,https://www.udemy.com/course/python-introduction-to-data-science-and-machine-learning-a-z/,Python basics Learn Python for Data Science Python For Machine learning and Python Tips and tricks,4.1,7.5 total hours,Beginner,Paid,python introduct data scienc machin learn z,python basic learn python data scienc python machin learn python tip trick
Feature Engineering for Machine Learning,https://www.udemy.com/course/feature-engineering-for-machine-learning/,"Learn imputation, variable encoding, discretization, feature extraction, how to work with datetime, outliers, and more.",4.6,10.5 total hours,Intermediate,Paid,featur engin machin learn,learn imput variabl encod discret featur extract work datetim outlier
Machine Learning Practical: 6 Real-World Applications,https://www.udemy.com/course/machine-learning-practical/,Machine Learning - Get Your Hands Dirty by Solving Real Industry Challenges with Python,4.1,8.5 total hours,Intermediate,Paid,machin learn practic 6 real world applic,machin learn get hand dirti solv real industri challeng python
Data Science: Supervised Machine Learning in Python,https://www.udemy.com/course/data-science-supervised-machine-learning-in-python/,Full Guide to Implementing Classic Machine Learning Algorithms in Python and with Scikit-Learn,4.6,6.5 total hours,Beginner,Paid,data scienc supervis machin learn python,full guid implement classic machin learn algorithm python scikit learn
Deep Learning: GANs and Variational Autoencoders,https://www.udemy.com/course/deep-learning-gans-and-variational-autoencoders/,"Generative Adversarial Networks and Variational Autoencoders in Python, Theano, and Tensorflow",4.8,7.5 total hours,Intermediate,Paid,deep learn gan variat autoencod,gener adversari network variat autoencod python theano tensorflow
Data Science 2022 : Complete Data Science & Machine Learning,https://www.udemy.com/course/complete-data-science-and-machine-learning-using-python/,"Learn and master the Data Science, Python for Machine Learning, Math for Machine Learning, Statistics for Data Science",4.6,26 total hours,All Levels,Paid,data scienc 2022 complet data scienc machin learn,learn master data scienc python machin learn math machin learn statist data scienc
Artificial Intelligence & Machine Learning for Business,https://www.udemy.com/course/artificial-intelligence-machine-learning-business/,"The Ultimate Artificial Intelligence & Machine Learning course for CxOs, Managers, Team Leaders and Entrepreneurs",4.4,5.5 total hours,All Levels,Paid,artifici intellig machin learn busi,ultim artifici intellig machin learn cours cxo manag team leader entrepreneur
Introduction to Time Series Analysis and Forecasting in R,https://www.udemy.com/course/time-series-analysis-and-forecasting-in-r/,"Work with time series and all sorts of time related data in R - Forecasting, Time Series Analysis, Predictive Analytics",4.5,8.5 total hours,All Levels,Paid,introduct time seri analysi forecast r,work time seri sort time relat data r forecast time seri analysi predict analyt
Python for Statistical Analysis,https://www.udemy.com/course/python-for-statistical-analysis/,Master applied Statistics with Python by solving real-world problems with state-of-the-art software and libraries,4.7,8.5 total hours,Beginner,Paid,python statist analysi,master appli statist python solv real world problem state art softwar librari
Data Science Career Guide - Interview Preparation,https://www.udemy.com/course/data-science-career-guide-interview-preparation/,Prepare for your Data Science Interview with this full guide on a career in Data Science including practice questions!,4.3,4 total hours,All Levels,Paid,data scienc career guid interview prepar,prepar data scienc interview full guid career data scienc includ practic question
The Beginner's Guide to Artificial Intelligence (Unity 2022),https://www.udemy.com/course/artificial-intelligence-in-unity/,A practical guide to programming non-player characters for games in the Unity Game Engine with C#,4.6,30 total hours,Beginner,Paid,beginn guid artifici intellig uniti 2022,practic guid program non player charact game uniti game engin c
Deep Learning with TensorFlow 2.0 [2022],https://www.udemy.com/course/machine-learning-with-tensorflow-for-business-intelligence/,"Build Deep Learning Algorithms with TensorFlow 2.0, Dive into Neural Networks and Apply Your Skills in a Business Case",4.5,6 total hours,All Levels,Paid,deep learn tensorflow 2 0 2022,build deep learn algorithm tensorflow 2 0 dive neural network appli skill busi case
Complete Machine Learning with R Studio - ML for 2022,https://www.udemy.com/course/machine-learning-with-r-studio/,"Linear & Logistic Regression, Decision Trees, XGBoost, SVM & other ML models in R programming language - R studio",4.6,12 total hours,All Levels,Paid,complet machin learn r studio ml 2022,linear logist regress decis tree xgboost svm ml model r program languag r studio
Unsupervised Deep Learning in Python,https://www.udemy.com/course/unsupervised-deep-learning-in-python/,"Autoencoders, Restricted Boltzmann Machines, Deep Neural Networks, t-SNE and PCA",4.6,10 total hours,Intermediate,Paid,unsupervis deep learn python,autoencod restrict boltzmann machin deep neural network sne pca
"Ensemble Machine Learning in Python: Random Forest, AdaBoost",https://www.udemy.com/course/machine-learning-in-python-random-forest-adaboost/,"Ensemble Methods: Boosting, Bagging, Boostrap, and Statistical Machine Learning for Data Science in Python",4.7,5.5 total hours,All Levels,Paid,ensembl machin learn python random forest adaboost,ensembl method boost bag boostrap statist machin learn data scienc python
A Complete Guide on TensorFlow 2.0 using Keras API,https://www.udemy.com/course/tensorflow-2/,Build Amazing Applications of Deep Learning and Artificial Intelligence in TensorFlow 2.0,4.4,13 total hours,Beginner,Paid,complet guid tensorflow 2 0 use kera api,build amaz applic deep learn artifici intellig tensorflow 2 0
A Beginner's Guide To Machine Learning with Unity,https://www.udemy.com/course/machine-learning-with-unity/,"Advanced games AI with genetic algorithms, neural networks & Q-learning in C# and Tensorflow for Unity",4.5,13 total hours,Intermediate,Paid,beginn guid machin learn uniti,advanc game ai genet algorithm neural network q learn c tensorflow uniti
Machine Learning- From Basics to Advanced,https://www.udemy.com/course/step-by-step-guide-to-machine-learning-course/,A beginners guide to learn Machine Learning (including Hands-on projects - From Basic to Advance Level),4.0,7 total hours,Beginner,Paid,machin learn basic advanc,beginn guid learn machin learn includ hand project basic advanc level
Statistics for Data Analysis Using R,https://www.udemy.com/course/statistics-using-r/,"Learn Programming in R & R Studio • Descriptive, Inferential Statistics • Plots for Data Visualization • Data Science",4.5,12.5 total hours,All Levels,Paid,statist data analysi use r,learn program r r studio descript inferenti statist plot data visual data scienc
PyTorch for Deep Learning and Computer Vision,https://www.udemy.com/course/pytorch-for-deep-learning-and-computer-vision/,Build Highly Sophisticated Deep Learning and Computer Vision Applications with PyTorch,4.7,14 total hours,All Levels,Paid,pytorch deep learn comput vision,build highli sophist deep learn comput vision applic pytorch
Feature Selection for Machine Learning,https://www.udemy.com/course/feature-selection-for-machine-learning/,"Learn filter, wrapper, and embedded methods, recursive feature elimination, exhaustive search, feature shuffling & more.",4.8,6 total hours,Intermediate,Paid,featur select machin learn,learn filter wrapper embed method recurs featur elimin exhaust search featur shuffl
Complete Data Science Training with Python for Data Analysis,https://www.udemy.com/course/complete-data-science-training-with-python-for-data-analysis/,Beginners python data analytics : Data science introduction : Learn data science : Python data analysis methods tutorial,4.2,13 total hours,All Levels,Paid,complet data scienc train python data analysi,beginn python data analyt data scienc introduct learn data scienc python data analysi method tutori
Docker Course for Beginners,https://www.udemy.com/course/docker-container-course-for-beginners/,Dive into the world of Docker and learn about Dockerfiles and Container Management,4.1,1.5 total hours,Beginner,Paid,docker cours beginn,dive world docker learn dockerfil contain manag
"Complete & Practical SAS, Statistics & Data Analysis Course",https://www.udemy.com/course/complete-practical-sas-statistics-data-analysis-course/,"A complete guide and use cases study for job seekers and beginners -- start career in  SAS, Statistics and Data science",3.9,16.5 total hours,All Levels,Paid,complet practic sa statist data analysi cours,complet guid use case studi job seeker beginn start career sa statist data scienc
Practical Deep Learning with PyTorch,https://www.udemy.com/course/practical-deep-learning-with-pytorch/,Accelerate your deep learning with PyTorch covering all the fundamentals of deep learning with a python-first framework.,3.8,6.5 total hours,Beginner,Paid,practic deep learn pytorch,acceler deep learn pytorch cover fundament deep learn python first framework
Learn Python for Data Science & Machine Learning from A-Z,https://www.udemy.com/course/python-for-data-science-machine-learning/,"Become a professional Data Scientist and learn how to use NumPy, Pandas, Machine Learning and more!",4.4,23 total hours,All Levels,Paid,learn python data scienc machin learn z,becom profession data scientist learn use numpi panda machin learn
Data Manipulation in Python: A Pandas Crash Course,https://www.udemy.com/course/data-manipulation-in-python/,"Learn how to use Python and Pandas for data analysis and data manipulation. Transform, clean and merge data with Python.",4.6,9 total hours,Beginner,Paid,data manipul python panda crash cours,learn use python panda data analysi data manipul transform clean merg data python
Cutting-Edge AI: Deep Reinforcement Learning in Python,https://www.udemy.com/course/cutting-edge-artificial-intelligence/,"Apply deep learning to artificial intelligence and reinforcement learning using evolution strategies, A2C, and DDPG",4.7,8.5 total hours,Expert,Paid,cut edg ai deep reinforc learn python,appli deep learn artifici intellig reinforc learn use evolut strategi a2c ddpg
Applied Statistical Modeling for Data Analysis in R,https://www.udemy.com/course/applied-statistical-modeling-for-data-analysis-in-r/,Your Complete Guide to Statistical Data Analysis and Visualization For Practical Applications in R,4.5,9.5 total hours,All Levels,Paid,appli statist model data analysi r,complet guid statist data analysi visual practic applic r
Modern Natural Language Processing in Python,https://www.udemy.com/course/modern-nlp/,Solve Seq2Seq and Classification NLP tasks with Transformer and CNN using Tensorflow 2 in Google Colab,4.2,6 total hours,Intermediate,Paid,modern natur languag process python,solv seq2seq classif nlp task transform cnn use tensorflow 2 googl colab
Artificial Intelligence in Web Design + Live Class,https://www.udemy.com/course/artificial-intelligence-website-creation-2018-no-coding/,Learn incredible tools and tech in this course that cover Artificial Intelligence (AI) powered Web Design concepts,4.5,4 total hours,Beginner,Paid,artifici intellig web design live class,learn incred tool tech cours cover artifici intellig ai power web design concept
Hands On Natural Language Processing (NLP) using Python,https://www.udemy.com/course/hands-on-natural-language-processing-using-python/,"Learn Natural Language Processing ( NLP ) & Text Mining by creating text classifier, article summarizer, and many more.",4.7,10.5 total hours,All Levels,Paid,hand natur languag process nlp use python,learn natur languag process nlp text mine creat text classifi articl summar mani
Artificial Intelligence Masterclass,https://www.udemy.com/course/artificial-intelligence-masterclass/,"Enter the new era of Hybrid AI Models optimized by Deep NeuroEvolution, with a complete toolkit of ML, DL & AI models",4.5,12 total hours,Beginner,Paid,artifici intellig masterclass,enter new era hybrid ai model optim deep neuroevolut complet toolkit ml dl ai model
"Data Manipulation in Python: Master Python, Numpy & Pandas",https://www.udemy.com/course/master-data-science-in-python/,"Learn Python, NumPy & Pandas for Data Science: Master essential data manipulation for data science in python",4.4,4 total hours,Beginner,Paid,data manipul python master python numpi panda,learn python numpi panda data scienc master essenti data manipul data scienc python
PyTorch: Deep Learning and Artificial Intelligence,https://www.udemy.com/course/pytorch-deep-learning/,"Neural Networks for Computer Vision, Time Series Forecasting, NLP, GANs, Reinforcement Learning, and More!",4.7,24 total hours,All Levels,Paid,pytorch deep learn artifici intellig,neural network comput vision time seri forecast nlp gan reinforc learn
